全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
,,北の丸公園,,,131016.0,,千代田区北の丸公園1ほか,,千代田区,,,,35.69198,139.750564,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,皇居東御苑,,,131016.0,,千代田区千代田1,,千代田区,,,,35.686863,139.757162,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,皇居外苑,,,131016.0,,千代田区皇居外苑1ほか,,千代田区,,,,35.680258,139.757693,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,日比谷公園,,,131016.0,,千代田区日比谷公園1,,千代田区,,,,35.673576,139.755893,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,真田堀運動場,,,131016.0,,千代田区紀尾井町5ほか,,千代田区,,,,35.68278,139.731059,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,外濠公園,,,131016.0,,千代田区五番町先,,千代田区,,,,35.68864,139.73097,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,麹町小学校,,,131016.0,,千代田区麹町２－８,,千代田区,,,,35.685573,139.739317,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
,,九段小学校,,,131016.0,,千代田区三番町１６,,千代田区,,,,35.690366,139.740845,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
,,番町小学校,,,131016.0,,千代田区六番町８,,千代田区,,,,35.688163,139.734126,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,麹町中学校,,,131016.0,,千代田区平河町２－５－１,,千代田区,,,,35.680493,139.73867,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
,,富士見みらい館,,,131016.0,,千代田区富士見１－１０－３,,千代田区,,,,35.697182,139.746403,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
,,神田一橋中学校,,,131016.0,,千代田区一ツ橋２－６－１４,,千代田区,,,,35.694133,139.756828,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,
,,神田さくら館,,,131016.0,,千代田区神田司町２－１６,,千代田区,,,,35.693327,139.768393,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,昌平童夢館,,,131016.0,,千代田区外神田３－４－７,,千代田区,,,,35.701306,139.769766,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,
,,アーツ千代田3331,,,131016.0,,千代田区外神田６－１１－１４,,千代田区,,,,35.704267,139.770632,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,
,,ちよだパークサイドプラザ,,,131016.0,,千代田区神田和泉町１,,千代田区,,,,35.699212,139.778598,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
,,旧今川中学校,,,131016.0,,千代田区鍛冶町２－４－２,,千代田区,,,,35.691178,139.773051,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,
,,都立一橋高校,,,131016.0,,千代田区東神田１－１２－１３,,千代田区,,,,35.694526,139.780984,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,
,,区立スポーツセンター,,,131016.0,,千代田区内神田２－１－８,,千代田区,,,,35.689298,139.767632,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,岩本町ほほえみプラザ,,,131016.0,,千代田区岩本町２－１５－３,,千代田区,,,,35.694328,139.777812,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
,,明治大学,,,131016.0,,千代田区神田駿河台１－１,,千代田区,,,,35.697323,139.761579,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,上智大学,,,131016.0,,千代田区紀尾井町７－１,,千代田区,,,,35.68511,139.73164,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学会館,,,131016.0,,千代田区九段南４－８－２４,,千代田区,,,,35.691261,139.737391,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学通信教育学部,,,131016.0,,千代田区九段南４－８－２８,,千代田区,,,,35.69164,139.73788,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学歯学部,,,131016.0,,千代田区神田駿河台１－８－１３,,千代田区,,,,35.698122,139.764223,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学理工学部①,,,131016.0,,千代田区神田駿河台１－８－１４,,千代田区,,,,35.697587,139.763601,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学理工学部②,,,131016.0,,千代田区神田駿河台３－１１－２,,千代田区,,,,35.697337,139.765328,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学経済学部,,,131016.0,,千代田区神田三崎町１－３－２,,千代田区,,,,35.700234,139.756266,,,,,,,,,,1.0,,,,,,,,,,,,,,
,,日本大学法学部①,,,131016.0,,千代田区神田三崎町２－１－３,,千代田区,,,,35.699859,139.75544,,,,,,,,,,1.0,,,,,,,,,,,,,,
,,日本大学法学部②,,,131016.0,,千代田区西神田２－７－１０,,千代田区,,,,35.699359,139.755349,,,,,,,,,,1.0,,,,,,,,,,,,,,
,,京橋区民館,,,131024.0,,中央区京橋2-6-7,,中央区,,,,35.676558,139.771358,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,京橋プラザ,,,131024.0,,中央区銀座1-25-3,,中央区,,,,35.673233,139.771678,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,泰明小学校,,,131024.0,,中央区銀座5-1-13,,中央区,,,,35.672333,139.761326,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,銀座中学校,,,131024.0,,中央区銀座8-19-15,,中央区,,,,35.665698,139.765034,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,中央小学校,,,131024.0,,中央区湊1-4-1,,中央区,,,,35.672201,139.778753,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,明石小学校,,,131024.0,,中央区明石町1-15,,中央区,,,,35.668438,139.776409,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,京橋築地小学校,,,131024.0,,中央区築地2-13-1,,中央区,,,,35.667959,139.771414,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,京華スクエア,,,131024.0,,中央区八丁堀3-17-9,,中央区,,,,35.674903,139.775664,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,明正小学校,,,131024.0,,中央区新川2-13-4,,中央区,,,,35.67597,139.781569,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,常盤小学校,,,131024.0,,中央区日本橋本石町4-4-26,,中央区,,,,35.688476,139.770558,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,十思スクエア,,,131024.0,,中央区日本橋小伝馬町5-1,,中央区,,,,35.690646,139.777104,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,日本橋小学校,,,131024.0,,中央区日本橋人形町1-1-17,,中央区,,,,35.684677,139.78141,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,有馬小学校,,,131024.0,,中央区日本橋蛎殻町2-10-23,,中央区,,,,35.683272,139.787993,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,久松小学校,,,131024.0,,中央区日本橋久松町7-2,,中央区,,,,35.689029,139.784316,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,日本橋中学校,,,131024.0,,中央区東日本橋1-10-1,,中央区,,,,35.692498,139.787096,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,阪本小学校,,,131024.0,,中央区日本橋兜町15-18,,中央区,,,,35.67985,139.77681,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,佃島小学校,,,131024.0,,中央区佃2-3-1,,中央区,,,,35.668626,139.78458,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,佃中学校,,,131024.0,,中央区佃2-3-2,,中央区,,,,35.668054,139.785119,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,月島第一小学校,,,131024.0,,中央区月島4-15-1,,中央区,,,,35.660632,139.780067,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,月島第二小学校,,,131024.0,,中央区勝どき1-12-2,,中央区,,,,35.660249,139.775825,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,月島第三小学校,,,131024.0,,中央区晴海1-4-1,,中央区,,,,35.658852,139.785539,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,晴海中学校,,,131024.0,,中央区晴海1-5-3,,中央区,,,,35.659827,139.784584,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,豊海小学校,,,131024.0,,中央区豊海3-1,,中央区,,,,35.653533,139.771473,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,中央区役所,,,131024.0,,中央区築地1-1-1,,中央区,,,,35.670585,139.772006,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,日本橋区民センター,,,131024.0,,中央区日本橋蛎殻町1-31-1,,中央区,,,,35.682472,139.784308,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,月島区民センター,,,131024.0,,中央区月島4-1-1,,中央区,,,,35.662063,139.78215,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,
,,ほっとプラザはるみ,,,131024.0,,中央区晴海5-2-3,,中央区,,,,35.65205,139.774787,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,晴海地区,,,130001.0,,中央区晴海,,東京都,,,,35.653282,139.779028,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,新川ツインビル地区,,,130001.0,,中央区新川,,東京都,,,,35.674497,139.784437,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,佃リバーシティ地区,,,130001.0,,中央区佃,,東京都,,,,35.669372,139.784976,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,あかつき公園一帯,,,130001.0,,中央区築地、明石町,,東京都,,,,35.666349,139.776264,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,生涯学習センター,,,131032.0,,港区新橋3-16-3,,港区,,,,35.66556,139.757102,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
,,障害保健福祉センター,,,131032.0,,港区芝1-8-23,,港区,,,,35.651643,139.755555,,,,,,,,,,,,,,,,,,,,,,,,
,,芝小学校,,,131032.0,,港区芝2-21-3,,港区,,,,35.651302,139.75018,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,三田図書館,,,131032.0,,港区芝5-36-4,,港区,,,,35.645067,139.742457,,,,,,,,,,,,,,1.0,,,,,,,,,,
,,御成門中学校,,,131032.0,,港区西新橋3-25-30,,港区,,,,35.661632,139.750369,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
,,神明子ども中高生プラザ・神明いきいきプラザ,,,131032.0,,港区浜松町1-6-7,,港区,,,,35.658765,139.757662,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,エコプラザ,,,131032.0,,港区浜松町1-13-1,,港区,,,,35.658849,139.756888,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
,,御成門小学校,,,131032.0,,港区芝公園3-2-4,,港区,,,,35.660984,139.749519,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,みなと図書館,,,131032.0,,港区芝公園3-2-25,,港区,,,,35.659896,139.750124,,,,,,,,,,,,,,1.0,,,,,,,,,,
,,三田中学校,,,131032.0,,港区三田4-13-15,,港区,,,,35.645227,139.740847,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,スポーツセンター,,,131032.0,,港区芝浦1-16-1,,港区,,,,35.646636,139.751789,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
,,高輪三丁目・四丁目・御殿山地区,,,131032.0,,港区高輪、品川区北品川,,港区,,,,35.630621,139.735163,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,芝浦小学校,,,131032.0,,港区芝浦4-8-18,,港区,,,,35.638159,139.746311,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,芝浦アイランド児童高齢者交流プラザ,,,131032.0,,港区芝浦4-20-1,,港区,,,,35.640373,139.752419,,,,,,,,,,,,,,,,,,,,,,,,
,,みなとリサイクル清掃事務所,,,131032.0,,港区港南3-9-59,,港区,,,,35.634389,139.751393,,,,,,,,,,,,,,1.0,,,,,,,,,,
,,港南中学校,,,131032.0,,港区港南4-3-3,,港区,,,,35.631196,139.749112,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
,,港南こども中高生プラザ(プラリバ）,,,131032.0,,港区港南4-3-7,,港区,,,,35.631148,139.749908,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,港南図書館,,,131032.0,,港区港南3-3-17,,港区,,,,35.632963,139.749559,,,,,,,,,,,,,,1.0,,,,,,,,,,
,,港南の郷,,,131032.0,,港区港南3-3-23,,港区,,,,35.633288,139.749211,,,,,,,,,,,,,,1.0,,,,,,,,,,
,,港南小学校,,,131032.0,,港区港南4-3-28,,港区,,,,35.62923,139.749645,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
,,お台場学園小・中学校,,,131032.0,,港区台場1-1-5,,港区,,,,35.633646,139.777123,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,台場児童館,,,131032.0,,港区台場1-5-1,,港区,,,,35.630066,139.777042,,,,,,,,,,,,,,,,,,,,,,,,
,,福祉プラザさくら川,,,131032.0,,港区新橋6-19-2,,港区,,,,35.661188,139.753786,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
,,虎ノ門いきいきプラザ,,,131032.0,,港区虎ノ門1-21-10,,港区,,,,35.667906,139.748713,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,三田いきいきプラザ,,,131032.0,,港区芝4-1-17,,港区,,,,35.648753,139.749744,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,赤羽小学校,,,131032.0,,港区三田1-4-52,,港区,,,,35.653232,139.742522,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,麻布小学校,,,131032.0,,港区麻布台1-5-15,,港区,,,,35.661831,139.738714,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,麻布区民センター,,,131032.0,,港区六本木5-16-45,,港区,,,,35.660737,139.735053,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,六本木中学校,,,131032.0,,港区六本木6-8-16,,港区,,,,35.660829,139.732256,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,旧飯倉小学校,,,131032.0,,港区東麻布2-1-1,,港区,,,,35.658164,139.742563,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,飯倉いきいきプラザ,,,131032.0,,港区東麻布2-16-11,,港区,,,,35.656904,139.740889,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,南麻布いきいきプラザ,,,131032.0,,港区南麻布1-5-26,,港区,,,,35.651435,139.735101,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,東町小学校,,,131032.0,,港区南麻布1-8-11,,港区,,,,35.650872,139.735835,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
,,ありすいきいきプラザ・麻布子ども中高生プラザ,,,131032.0,,港区南麻布4-6-7,,港区,,,,35.651038,139.72741,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,本村小学校,,,131032.0,,港区南麻布3-9-33,,港区,,,,35.649818,139.72996,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,笄小学校,,,131032.0,,港区西麻布3-11-16,,港区,,,,35.656504,139.724918,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,高陵中学校,,,131032.0,,港区西麻布4-14-8,,港区,,,,35.656898,139.720394,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,南山小学校,,,131032.0,,港区元麻布3-8-15,,港区,,,,35.657257,139.731123,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,赤坂区民センター,,,131032.0,,港区赤坂4-18-13,,港区,,,,35.674749,139.731634,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,サン・サン赤坂,,,131032.0,,港区赤坂6-6-14,,港区,,,,35.66976,139.737544,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,青山中学校,,,131032.0,,港区北青山1-1-9,,港区,,,,35.674193,139.722154,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,青山いきいきプラザ,,,131032.0,,港区南青山2-16-5,,港区,,,,35.669213,139.721211,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,青山小学校,,,131032.0,,港区南青山2-21-2,,港区,,,,35.669872,139.719059,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,青南いきいきプラザ,,,131032.0,,港区南青山4-10-1,,港区,,,,35.666466,139.717313,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,青南小学校,,,131032.0,,港区南青山4-21-15,,港区,,,,35.663505,139.716144,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,豊岡いきいきプラザ,,,131032.0,,港区三田5-7-7,,港区,,,,35.646502,139.739662,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,高輪区民センター,,,131032.0,,港区高輪1-16-25,,港区,,,,35.64195,139.734104,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,高輪子ども中高生プラザ,,,131032.0,,港区高輪1-4-35,,港区,,,,35.642419,139.734826,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,高輪台小学校,,,131032.0,,港区高輪2-8-24,,港区,,,,35.636238,139.734348,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,高輪いきいきプラザ,,,131032.0,,港区高輪3-18-15,,港区,,,,35.633251,139.735583,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,白金いきいきプラザ,,,131032.0,,港区白金3-10-12,,港区,,,,35.644894,139.731074,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,旧三光小学校,,,131032.0,,港区白金3-18-2,,港区,,,,35.644269,139.729135,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,旧神応小学校,,,131032.0,,港区白金6-9-5,,港区,,,,35.643634,139.724507,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,白金小学校,,,131032.0,,港区白金台1-4-26,,港区,,,,35.636812,139.72856,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,白金台いきいきプラザ,,,131032.0,,港区白金台4-8-5,,港区,,,,35.637614,139.725057,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,芝浦港南区民センター,,,131032.0,,港区芝浦4-13-1,,港区,,,,35.640524,139.74866,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,港南いきいきプラザ,,,131032.0,,港区港南4-2-1,,港区,,,,35.629715,139.747075,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
,,台場区民センター,,,131032.0,,港区台場1-5-1,,港区,,,,35.629796,139.777012,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,西麻布いきいきプラザ,,,131032.0,,港区西麻布2-13-3,,港区,,,,35.660855,139.722721,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,赤坂小学校,,,131032.0,,港区赤坂8-13-29,,港区,,,,35.669308,139.731031,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,赤坂中学校,,,131032.0,,港区赤坂9-2-3,,港区,,,,35.668009,139.731015,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,赤坂いきいきプラザ,,,131032.0,,港区赤坂6-4-8,,港区,,,,35.670358,139.734939,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,御田小学校,,,131032.0,,港区三田4-11-38,,港区,,,,35.643172,139.738034,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,白金の丘学園白金の丘小・中学校,,,131032.0,,港区白金4-1-12,,港区,,,,35.643626,139.72684,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,高松中学校,,,131032.0,,港区高輪1-16-25,,港区,,,,35.640817,139.733771,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
,,芝公園・慶応大学一帯,,,130001.0,,港区芝公園、三田,,東京都,,,,35.657379,139.74725,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,有栖川宮記念公園一帯,,,130001.0,,港区南麻布,,東京都,,,,35.651677,139.726501,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,青山墓地一帯,,,130001.0,,港区南青山、六本木,,東京都,,,,35.665759,139.723035,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,迎賓館一帯,,,130001.0,,港区元赤坂、新宿区南元町、四谷、若葉,,東京都,,,,35.680234,139.728751,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,明治神宮外苑地区,,,130001.0,,港区北青山、新宿区霞ヶ丘町、渋谷区神宮前、千駄ケ谷,,東京都,,,,35.677753,139.717129,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,札の辻スクエア(産業振興センター),,,130001.0,,港区芝5-36-4,,東京都,,,,35.645067,139.742457,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
,,芝浜小学校,,,130001.0,,港区芝浦1-16-31,,東京都,,,,35.646339,139.748823,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
,,戸山公園一帯,,,130001.0,,新宿区大久保、戸山,,東京都,,,,35.704016,139.713567,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
,,新宿御苑,,,130001.0,,新宿区内藤町,,東京都,,,,35.685442,139.710541,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
,,新宿中央公園・高層ビル群一帯,,,130001.0,,新宿区西新宿,,東京都,,,,35.691195,139.690472,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
,,百人町三・四丁目地区,,,130001.0,,新宿区百人町,,東京都,,,,35.706049,139.698232,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
,,早稲田大学早稲田キャンパス一帯,,,130001.0,,新宿区戸塚町、西早稲田、早稲田鶴巻町,,東京都,,,,35.709635,139.718687,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
,,落合中央公園一帯,,,130001.0,,新宿区上落合,,東京都,,,,35.71277,139.69322,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
,,おとめ山公園地区一帯,,,130001.0,,新宿区下落合,,東京都,,,,35.718066,139.701488,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
,,六義園,,,130001.0,,文京区本駒込,,東京都,,,,35.732911,139.746376,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,東京大学,,,130001.0,,文京区本郷、弥生,,東京都,,,,35.711651,139.761831,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,後楽園一帯,,,130001.0,,文京区春日、後楽,,東京都,,,,35.705848,139.750585,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,お茶の水女子大学一帯・教育の森公園一帯,,,130001.0,,文京区大塚,,東京都,,,,35.719961,139.736257,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,護国寺一帯,,,130001.0,,文京区大塚,,東京都,,,,35.721997,139.726234,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,小石川植物園,,,130001.0,,文京区白山,,東京都,,,,35.719818,139.744307,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,目白台運動公園付近一帯,,,130001.0,,文京区関口、目白台,,東京都,,,,35.712042,139.725869,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,谷中小学校,,,131067.0,,台東区谷中2-9-16,,台東区,,,,35.72387,139.765205,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,
,,忍岡小学校,,,131067.0,,台東区池之端2-1-22,,台東区,,,,35.714015,139.76692,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,
,,旧柳北小学校,,,131067.0,,台東区浅草橋5-1-35,,台東区,,,,35.699544,139.782521,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,松葉小学校,,,131067.0,,台東区松が谷1-13-16,,台東区,,,,35.712231,139.786471,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,東浅草小学校,,,131067.0,,台東区東浅草2-27-19,,台東区,,,,35.724439,139.798209,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,柏葉中学校,,,131067.0,,台東区下谷3-1-29,,台東区,,,,35.723719,139.786217,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,上野小学校,,,131067.0,,台東区東上野6-16-8,,台東区,,,,35.713586,139.783622,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,田原小学校,,,131067.0,,台東区雷門1-5-14,,台東区,,,,35.709988,139.792782,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,浅草小学校,,,131067.0,,台東区花川戸1-14-15,,台東区,,,,35.713529,139.799192,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,千束小学校,,,131067.0,,台東区浅草4-24-11,,台東区,,,,35.719207,139.793993,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,石浜小学校,,,131067.0,,台東区清川1-14-21,,台東区,,,,35.724929,139.80342,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,東泉小学校,,,131067.0,,台東区三ノ輪1-23-9,,台東区,,,,35.728498,139.792191,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,浅草中学校,,,131067.0,,台東区蔵前1-3-4,,台東区,,,,35.699968,139.789963,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,御徒町台東中学校,,,131067.0,,台東区台東4-13-16,,台東区,,,,35.70699,139.77744,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,上野中学校,,,131067.0,,台東区上野桜木1-14-55,,台東区,,,,35.721164,139.774722,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,蔵前小学校,,,131067.0,,台東区蔵前4-19-11,,台東区,,,,35.704394,139.789264,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,駒形中学校,,,131067.0,,台東区北上野2-15-1,,台東区,,,,35.717453,139.784238,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,谷中墓地,,,130001.0,,台東区谷中、上野桜木,,東京都,,,,35.724025,139.771666,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
,,上野公園一帯,,,130001.0,,台東区上野公園、上野桜木、池之端,,東京都,,,,35.713566,139.772252,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
,,隅田公園一帯,,,130001.0,,台東区浅草、今戸、花川戸,,東京都,,,,35.71365,139.801312,,,,,,,,,,,,,,,1.0,,,,,,,,,
